route_id,point_index,lat,lon,cum_distance_km,elevation_m_raw,elevation_m_smoothed,segment_length_m,delta_elevation_m,gradient_percent,cum_elevation_gain_m,cum_elevation_loss_m
manali_leh,122,32.45753364752421,77.14519972849791,32.124,3068.0,3060.8,296.7,0.0,0.0,2921.1,1765.0
manali_leh,123,32.458184939622605,77.14216845822114,32.418,3060.0,3060.4,293.5,0.0,0.0,2921.1,1765.0
manali_leh,124,32.46044510529879,77.14133279482608,32.681,3059.0,3059.6,263.3,0.0,0.0,2921.1,1765.0
manali_leh,125,32.46267393049184,77.1396091479022,32.977,3060.0,3055.0,295.9,-4.6,-1.55,2921.1,1769.6
manali_leh,126,32.46414552495223,77.13713139411351,33.261,3051.0,3049.0,284.3,-6.0,-2.11,2921.1,1775.6
manali_leh,127,32.46600893814525,77.13485212046025,33.559,3045.0,3044.6,297.8,-4.4,-1.48,2921.1,1780.0
manali_leh,128,32.46808278206422,77.13280838703359,33.859,3030.0,3040.4,299.9,-4.2,-1.4,2921.1,1784.2
manali_leh,129,32.47044300304619,77.13127451419821,34.158,3037.0,3037.8,299.3,0.0,0.0,2921.1,1784.2
manali_leh,130,32.47302560514007,77.13039087826586,34.457,3039.0,3039.0,298.9,0.0,0.0,2921.1,1784.2
manali_leh,131,32.475628839001175,77.1296077889093,34.756,3038.0,3044.8,298.6,5.8,1.94,2926.9,1784.2
manali_leh,132,32.47799550304237,77.12835770743514,35.044,3051.0,3049.6,288.1,4.8,1.67,2931.7,1784.2
manali_leh,133,32.479929376541065,77.12617379041501,35.341,3059.0,3059.6,297.0,10.0,3.37,2941.7,1784.2
manali_leh,134,32.48098527220938,77.12518197484516,35.491,3061.0,3070.4,149.8,10.8,7.21,2952.5,1784.2
manali_leh,135,32.480512685656024,77.12261413265931,35.737,3089.0,3079.0,246.5,8.6,3.49,2961.1,1784.2
manali_leh,136,32.480438023367924,77.11948104648332,36.031,3092.0,3085.8,294.0,6.8,2.31,2967.9,1784.2
manali_leh,137,32.48120957106447,77.11649160792089,36.324,3094.0,3092.4,293.2,6.6,2.25,2974.5,1784.2
manali_leh,138,32.482364607694386,77.11508557364685,36.508,3093.0,3092.8,184.1,0.0,0.0,2974.5,1784.2
manali_leh,139,32.48393258625587,77.11261083435035,36.799,3094.0,3092.4,290.3,0.0,0.0,2974.5,1784.2
manali_leh,140,32.4851623874241,77.10979181215203,37.096,3091.0,3088.4,297.7,-4.0,-1.34,2974.5,1788.2
manali_leh,141,32.4857845308796,77.10722994815275,37.346,3090.0,3085.8,250.1,0.0,0.0,2974.5,1788.2
manali_leh,142,32.48575235641415,77.104186268933,37.632,3074.0,3085.4,285.5,0.0,0.0,2974.5,1788.2
manali_leh,143,32.48650413309391,77.1011599455618,37.928,3080.0,3087.2,295.9,0.0,0.0,2974.5,1788.2
manali_leh,144,32.48748539709692,77.0982664812222,38.22,3092.0,3093.4,292.5,6.2,2.12,2980.7,1788.2
manali_leh,145,32.48812179071822,77.09530428486933,38.507,3100.0,3108.2,286.7,14.8,5.16,2995.5,1788.2
manali_leh,146,32.48953264051244,77.09322041317385,38.758,3121.0,3117.2,250.6,9.0,3.59,3004.5,1788.2
manali_leh,147,32.492072603512234,77.09391763133385,39.048,3148.0,3129.2,289.9,12.0,4.14,3016.5,1788.2
manali_leh,148,32.490610536690305,77.09155262983265,39.323,3125.0,3138.4,275.0,9.2,3.35,3025.7,1788.2
manali_leh,149,32.49051742985336,77.08920076687902,39.543,3152.0,3143.8,220.8,5.4,2.45,3031.1,1788.2
manali_leh,150,32.491755394670804,77.08651630126984,39.83,3146.0,3146.4,287.0,0.0,0.0,3031.1,1788.2
manali_leh,151,32.49286016920055,77.0836806806813,40.123,3148.0,3153.6,293.0,7.2,2.46,3038.3,1788.2
manali_leh,152,32.494704121530354,77.08140822593272,40.419,3161.0,3155.4,295.7,0.0,0.0,3038.3,1788.2
manali_leh,153,32.4959490345806,77.0787854446798,40.701,3161.0,3160.6,282.3,5.2,1.84,3043.5,1788.2
manali_leh,154,32.496803990428184,77.07604603981649,40.975,3161.0,3164.8,273.9,4.2,1.53,3047.7,1788.2
